,Country,YEAR1,GDPG,GDP,BB,INFL,SACW,GOVC,ETHNF,ASSAS,ICRGE,M2-1,SSA,EASIA,LPOP,EGYPT,CENTAM,FRZ,ARMS-1,DN1900,EDA,BEDA,MEDA,WBEDA,POPDEP
1043,SYRIAN ARAB REPUBLIC,1966-69,2.42282973782868,1803.0,,2.694480676498101,0.0,15.962791435075124,,,,,0,0,,,,,,1,,,,,
1044,SYRIAN ARAB REPUBLIC,1970-73,1.8064161051846828,2294.0,-4.682236863534468,7.649799020171999,0.0,18.630769673935298,22.0,0.0,3.078125,31.91668748319016,0,0,15.701939092435717,0.0,0.0,0.0,16.167,1,1.2735420755758873,1.0841810799267482,0.18936099564913922,0.0,112.59675
1045,SYRIAN ARAB REPUBLIC,1974-77,8.783951399964751,3242.0,-7.439363288166041,11.853133415968486,0.0,19.626614052387644,22.0,0.0,3.078125,37.215073732351364,0,0,15.837707579155914,0.0,0.0,0.0,76.35,1,3.1664248110497444,3.0721092922067634,0.09431551884298073,0.01693844304678948,109.11
1046,SYRIAN ARAB REPUBLIC,1978-81,4.589139035978018,4158.0,-6.077399035703983,10.919374411086002,0.0,21.375834811823673,22.0,1.25,3.078125,39.234092129826735,0,0,15.965022848345978,0.0,0.0,0.0,35.05,1,3.5142103523724084,3.444031633819672,0.0701787185527364,0.005312620211265764,107.185
1047,SYRIAN ARAB REPUBLIC,1982-85,-2.079399100098289,4457.0,,11.014907678504793,0.0,23.063890464581014,22.0,0.0,3.078125,45.587390181131994,0,0,16.10114860759865,0.0,0.0,0.0,60.9,1,1.8347893586522626,1.7682024652325594,0.0665868934197033,0.002303423482393337,105.48849999999999
1048,SYRIAN ARAB REPUBLIC,1986-89,-3.8597995853812517,3752.0,-2.564905351340304,29.488361057117707,0.0,17.15248576183945,22.0,0.0,3.078125,63.15177977777195,0,0,16.241434336483923,0.0,0.0,0.0,58.275,1,0.8308057957166994,0.7508429147875637,0.07996288092913582,-0.0004847788885687711,104.2025
1049,SYRIAN ARAB REPUBLIC,1990-93,4.342824222357944,3897.0,0.8659705655628899,11.328882195240952,0.0,14.273763721623661,22.0,0.0,3.078125,60.26734393101654,0,0,16.38140562195055,0.0,0.0,0.0,58.2,1,0.4928058582148103,0.41908848876392213,0.07371736945088815,0.0,102.57799999999999
1050,"TAIWAN, CHINA",1966-69,7.079988246620994,,,4.462525395120487,1.0,17.772322446251295,,,,,0,0,,,,,,0,,,,,
1051,"TAIWAN, CHINA",1970-73,9.869157132211503,,,4.267595892147879,1.0,16.687165500058203,,,,,0,0,,,,,,0,,,,,
1052,"TAIWAN, CHINA",1974-77,5.2241054056771485,,,13.3025924433401,1.0,15.154120287071898,,,,,0,0,,,,,,0,,,,,
